R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
297 21,,Josh Richardson,"PG,SG",FA,25,22.2,0.428 (3.0/6.9),0.942 (1.0/1.0),1.3,8.2,2.4,2.1,0.6,0.3,0.8,-5.7
298 23,,Cameron Payne,"PG,SG",NY,60,15.9,0.418 (2.6/6.2),0.889 (0.7/0.8),1.3,7.2,1.5,2.7,0.5,0.2,0.8,-5.72
299 23,,Alec Burks,"SG,SF",FA,57,18,0.387 (2.9/7.4),0.847 (1.6/1.9),1.9,9.2,2.4,1.3,0.5,0.2,0.7,-5.72
300 22,,Dorian Finney-Smith,"SF,PF",HOU,47,27.7,0.434 (2.6/6.0),0.702 (0.4/0.6),1.6,7.2,3.6,1.2,0.7,0.4,0.7,-5.73
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
301 24,142,Chris Boucher,"PF,C",BOS,60,17.4,0.475 (2.6/5.4),0.782 (1.3/1.7),0.9,7.4,4,0.5,0.4,0.5,0.5,-5.77
302 48,,Dennis Smith Jr.,PG,FA,20,18.9,0.434 (2.7/6.1),0.743 (0.8/1.1),0.6,6.7,3,3.7,1.2,0.2,1.2,-5.77
303 23,,Ochai Agbaji,"SG,SF",TOR,64,20.4,0.460 (2.7/5.9),0.683 (0.4/0.6),1,6.8,2.8,1.1,0.6,0.5,0.7,-5.79
304 23,,Trey Lyles,"PF,C",FA,63,19.8,0.431 (2.4/5.5),0.700 (0.8/1.2),1.3,6.9,4.6,1.2,0.5,0.3,0.6,-5.8
305 23,,Julian Strawther,"SG,SF",DEN,62,20.1,0.431 (3.2/7.5),0.795 (1.0/1.3),1.4,8.8,2.1,1.4,0.6,0.2,0.8,-5.84
306 24,,Tre Mann,"PG,SG",CHA,37,18.3,0.450 (3.0/6.8),0.805 (0.9/1.1),1,8,2.7,2.9,0.8,0.1,1.3,-5.84
307 24,,Quinten Post,C,GS,42,16.3,0.448 (3.0/6.6),0.769 (0.5/0.7),1.8,8.2,3.6,1.3,0.4,0.4,0.8,-5.84
308 21,,Steven Adams,C,HOU,60,17.9,0.546 (2.0/3.6),0.460 (0.9/2.0),0,4.8,8,1.4,0.5,0.6,1.2,-5.84
309 24,,John Konchar,"SG,SF",MEM,40,16.7,0.433 (1.3/2.9),0.844 (0.3/0.3),0.6,3.4,4,1.5,0.8,0.6,0.6,-5.89
310 21,,Christian Wood,"PF,C",FA,50,17.4,0.466 (2.5/5.3),0.704 (1.3/1.9),0.7,7,5.1,1,0.3,0.7,1,-5.89
311 21,,Noah Clowney,"PF,C",BKN,55,19.4,0.394 (2.5/6.5),0.797 (1.2/1.5),1.4,7.7,3.6,0.8,0.4,0.5,0.9,-5.89
312 21,,Nicolas Batum,"SF,PF",LAC,69,17.5,0.445 (1.3/3.0),0.769 (0.2/0.3),1,3.9,2.8,1.3,0.6,0.5,0.5,-5.91
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
313 26,,Thomas Bryant,C,CLE,40,14.1,0.523 (2.4/4.6),0.866 (1.0/1.1),0.5,6.3,4,0.8,0.4,0.6,0.5,-5.94
314 26,,Richaun Holmes,C,FA,35,15.5,0.601 (2.5/4.1),0.786 (1.2/1.5),0,6.2,5.2,1,0.3,0.6,0.7,-5.95
315 19,,Jordan Hawkins,"SG,SF",NO,65,22.5,0.380 (3.5/9.1),0.825 (1.3/1.6),2,10.2,2.7,1.2,0.4,0.3,0.9,-5.98
316 19,136.5,Clint Capela,C,HOU,55,13.6,0.565 (2.6/4.5),0.603 (0.8/1.4),0,5.9,5.6,0.7,0.4,0.7,0.5,-6.04
317 19,,Drew Eubanks,C,SAC,67,14,0.597 (2.0/3.3),0.727 (0.9/1.2),0,4.9,4.1,0.9,0.3,0.7,0.8,-6.04
318 19,,Talen Horton-Tucker,"SG,SF",FA,54,16.1,0.420 (3.0/7.1),0.773 (1.5/1.9),1,8.4,2.1,2.4,0.6,0.3,1,-6.05
319 19,,Kasparas Jakucionis,PG,MIA,60,18.8,0.441 (2.1/4.8),0.840 (1.9/2.3),0.8,6.8,2.5,2.8,0.4,0.1,1.6,-6.08
320 29,,Daniel Theis,C,FA,49,16.6,0.514 (2.2/4.3),0.798 (0.7/0.9),0.4,5.5,4.2,1.2,0.4,0.7,0.7,-6.08
321 18,,Tristan Da Silva,"SF,PF",ORL,70,22,0.411 (2.7/6.6),0.872 (0.8/0.9),1.1,7.3,3.3,1.5,0.5,0.3,0.8,-6.11
322 19,,Jordan Nwora,"SF,PF",FA,52,13.7,0.460 (2.7/5.8),0.835 (0.9/1.0),0.9,7.1,2.9,1.2,0.5,0.3,1,-6.11
323 31,,Jaylin Williams,"PF,C",OKC,40,14.8,0.429 (1.7/4.0),0.794 (0.5/0.6),1,4.9,4.4,2,0.4,0.5,0.6,-6.12
324 21,,Trayce Jackson-Davis,C,GS,60,13.2,0.643 (2.6/4.0),0.570 (0.9/1.5),0,6,4.2,1.2,0.3,0.7,0.6,-6.22
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
325 22,,Kenrich Williams,PF,OKC,70,15.7,0.477 (2.2/4.7),0.667 (0.3/0.4),0.9,5.6,3.3,1.4,0.6,0.1,0.5,-6.29
326 22,,Cedi Osman,"SF,PF",FA,72,17.6,0.480 (2.6/5.4),0.671 (0.5/0.7),1.2,6.9,2.5,1.7,0.5,0.2,0.7,-6.29
327 22,,Carter Bryant,SF,SA,58,14.4,0.459 (1.6/3.5),0.686 (0.8/1.2),0.8,4.9,3,0.7,0.5,0.7,0.7,-6.31
328 30,,Larry Nance Jr.,"PF,C",CLE,42,15.2,0.526 (2.0/3.8),0.704 (0.5/0.7),0.5,5,4,1.5,0.8,0.3,0.6,-6.33
329 21,,Terrence Shannon Jr.,"SF,PF",MIN,60,17.6,0.482 (3.0/6.1),0.813 (0.9/1.1),0.6,7.4,2.5,1.7,0.4,0.3,0.8,-6.34
330 22,,Josh Green,"SG,SF",CHA,62,21.4,0.452 (2.3/5.1),0.683 (0.6/0.8),1.1,6.2,2.3,1.5,0.8,0.2,0.8,-6.38
331 22,,Georges Niang,PF,UTA,70,17.5,0.456 (2.8/6.1),0.842 (0.5/0.6),1.5,7.6,2.7,1,0.3,0.2,0.8,-6.38
332 32,132.6,Bogdan Bogdanovic,"SG,SF",LAC,40,16.2,0.429 (3.0/6.9),0.919 (0.9/1.0),1.5,8.3,1.9,1.7,0.6,0.2,0.8,-6.39
333 21,,Spencer Dinwiddie,"PG,SG",CHA,52,17.6,0.405 (2.2/5.5),0.804 (1.5/1.9),1,6.9,1.7,2.9,0.5,0.2,0.8,-6.41
334 21,,Jamison Battle,,TOR,50,17.7,0.430 (2.6/6.0),0.871 (0.3/0.3),1.8,7.2,2.7,0.9,0.3,0.2,0.5,-6.41
335 22,,Jaxson Hayes,C,LAL,60,14,0.720 (2.1/2.9),0.620 (0.8/1.3),0,4.9,3.5,0.7,0.5,0.6,0.6,-6.42
336 33,,Keaton Wallace,"PG,SG",ATL,31,16.2,0.401 (2.1/5.3),1.000 (0.4/0.4),0.9,5.5,1.6,2.7,0.9,0.3,1.1,-6.58
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
337 33,,Marvin Bagley III,"PF,C",WAS,40,14.8,0.571 (3.3/5.8),0.742 (1.4/1.8),0.1,8.2,4.5,0.8,0.3,0.5,0.8,-6.59
338 24,,Jamal Shead,PG,TOR,72,16.9,0.404 (2.4/5.9),0.775 (0.6/0.8),0.8,6.2,1.3,3.7,0.7,0.1,1.4,-6.59
339 33,,Kai Jones,C,FA,40,11.7,0.796 (2.2/2.8),0.716 (0.6/0.8),0,5,3.2,0.6,0.4,0.6,0.5,-6.62
340 23,,Kyle Anderson,PF,UTA,50,14.5,0.463 (1.8/3.9),0.717 (0.8/1.1),0.2,4.5,2.5,2.5,0.6,0.4,0.7,-6.63
341 23,,Reggie Jackson,"PG,SG",FA,56,17.3,0.425 (3.0/7.1),0.800 (0.7/0.9),1,7.7,1.6,2.8,0.5,0.1,1,-6.66
342 23,,Terry Rozier,PG,MIA,50,14.7,0.422 (2.8/6.6),0.862 (1.1/1.2),1,7.6,2,2,0.4,0.1,0.7,-6.66
343 24,,Sandro Mamukelashvili,"PF,C",TOR,50,11.5,0.492 (2.2/4.5),0.745 (0.7/0.9),0.8,5.9,3.4,1,0.3,0.3,0.5,-6.67
344 24,,Johnny Furphy,"SG,SF",IND,60,14.4,0.381 (1.4/3.7),0.828 (0.7/0.9),0.6,4.1,2.8,0.8,0.7,0.4,0.5,-6.67
345 35,,Mo Bamba,C,FA,44,13,0.482 (1.7/3.5),0.682 (0.6/0.9),0.5,4.5,4.4,0.7,0.4,1,0.7,-6.7
346 35,,Collin Gillespie,PG,PHO,30,15.7,0.441 (2.2/5.0),0.776 (0.6/0.8),1.2,6.2,2.2,2.3,0.8,0.1,0.7,-6.71
347 34,,Dante Exum,"PG,SG",DAL,37,18.2,0.515 (2.8/5.5),0.768 (1.0/1.3),1,7.6,2.3,2.7,0.4,0.1,0.9,-6.72
348 21,,Garrison Mathews,"SG,SF",ATL,56,16.3,0.423 (1.9/4.4),0.824 (0.9/1.1),1.5,6.1,1.6,0.9,0.4,0.2,0.5,-6.74
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
349 34,,Bol Bol,"PF,C",FA,39,11.8,0.565 (2.5/4.3),0.776 (0.5/0.6),0.7,6.1,3.1,0.5,0.3,0.7,0.5,-6.74
350 34,,Charles Bassey,C,MEM,27,10.6,0.619 (1.8/2.9),0.667 (0.5/0.7),0,4.1,4.2,0.7,0.4,0.9,0.7,-6.74
351 33,132.8,Javonte Green,"SG,SF",DET,38,16.1,0.464 (1.9/4.2),0.735 (0.8/1.0),0.7,5.3,3.3,0.7,0.9,0.5,0.5,-6.75
352 18,,Aaron Holiday,"PG,SG",HOU,58,15.5,0.443 (2.2/5.0),0.870 (0.7/0.8),1.1,6.3,1.5,1.6,0.4,0.1,0.7,-6.77
353 33,,Johnny Juzang,"SG,SF",MIN,42,19.2,0.436 (3.0/6.9),0.823 (0.7/0.8),1.8,8.5,2.6,1.1,0.5,0.1,0.6,-6.85
354 21,,Gary Harris,"SG,SF",MIL,51,19.4,0.424 (1.8/4.2),0.714 (0.4/0.6),1.1,5,1.5,1.1,0.7,0.3,0.5,-6.86
355 21,,Oso Ighodaro,C,PHO,64,17.1,0.605 (1.9/3.1),0.578 (0.5/0.8),0,4.2,3.7,1.2,0.5,0.5,0.6,-6.87
356 21,,Vasilije Micic,"PG,SG",FA,50,19.4,0.396 (2.5/6.4),0.819 (1.0/1.2),0.9,6.9,1.8,3.9,0.5,0.1,1.8,-6.88
357 21,,Jalen Wilson,"SF,PF",BKN,61,20.6,0.404 (2.5/6.2),0.822 (1.3/1.6),1.1,7.4,3.1,1.5,0.4,0.1,0.8,-6.89
358 34,,Mac McClung,"PG,SG",IND,30,15.8,0.414 (3.5/8.5),0.755 (1.5/2.0),1,9.5,2,0.5,1,0.5,1,-6.92
359 23,,Rasheer Fleming,PF,PHO,50,13.8,0.482 (1.8/3.7),0.719 (0.7/1.0),0.6,4.9,2.8,0.4,0.5,0.5,0.5,-7
360 30,,Dalano Banton,"SG,SF",FA,40,18.1,0.397 (3.4/8.5),0.754 (1.6/2.1),1.1,9.4,2.6,2.4,0.6,0.5,1.4,-7.04
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
361 26,,Tony Bradley,C,IND,50,8.7,0.644 (2.3/3.5),0.340 (0.2/0.5),0.1,4.8,3.2,0.5,0.2,0.7,0.4,-7.14
362 26,,Ben Saraf,SG,BKN,54,18.6,0.437 (3.0/6.9),0.777 (1.0/1.3),0.6,7.6,1.7,2.9,0.4,0.1,1.1,-7.15
363 26,,Seth Curry,SG,FA,55,15.1,0.447 (2.2/5.0),0.859 (0.6/0.6),1.1,6.1,1.7,1,0.5,0.1,0.5,-7.17
364 28,,Gabe Vincent,"PG,SG",LAL,61,20.5,0.390 (2.2/5.6),0.704 (0.2/0.3),1.3,5.9,1.2,1.4,0.7,0.2,0.6,-7.21
365 28,,DaRon Holmes II,PF,DEN,55,14.4,0.492 (2.1/4.2),0.713 (2.2/3.0),0.3,6.6,3,0.9,0.3,0.7,0.8,-7.22
366 33,,Jeremiah Robinson-Earl,"PF,C",IND,52,13.7,0.460 (1.8/3.9),0.823 (0.5/0.6),0.6,4.7,3.4,1,0.4,0.1,0.6,-7.32
367 25,,Javon Small,PG,MEM,30,19.6,0.333 (2.0/6.0),0.800 (2.0/2.5),1.3,7.3,1.8,5.3,0,0.3,1.3,-7.34
368 25,,Bismack Biyombo,C,SA,33,19.6,0.576 (2.1/3.7),0.454 (0.5/1.2),0,4.8,5.5,1.3,0.4,0.9,1,-7.38
369 34,,Simone Fontecchio,"SF,PF",MIA,60,14.2,0.436 (2.0/4.6),0.827 (0.6/0.8),1.1,5.7,2.3,0.8,0.4,0.2,0.6,-7.4
370 26,,James Wiseman,C,IND,40,15,0.611 (2.6/4.3),0.708 (1.0/1.4),0,6.3,4.7,0.8,0.2,0.5,0.9,-7.4
371 33,,Andre Jackson Jr.,"SG,SF",MIL,62,16.3,0.486 (1.5/3.2),0.568 (0.2/0.4),0.5,3.8,3.1,1.4,0.5,0.2,0.9,-7.41
372 34,,Nique Clifford,SG,SAC,50,13.8,0.484 (1.9/4.0),0.770 (1.1/1.5),0.5,5.5,2.8,1.3,0.4,0.2,0.8,-7.42
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
373 27,,Brandon Boston Jr,"SF,PF",FA,37,17.2,0.426 (3.0/7.0),0.765 (1.2/1.5),0.8,8,2.4,1.4,0.8,0.2,1,-7.54
374 35,,Craig Porter Jr.,"PG,SG",CLE,51,11.4,0.510 (1.9/3.7),0.724 (0.6/0.9),0.3,4.7,1.7,1.9,0.4,0.3,0.8,-7.57
375 36,,Luka Garza,C,BOS,61,15.3,0.473 (3.4/7.3),0.667 (1.0/1.5),0.8,8.6,3.3,0.6,0.4,0.2,0.7,-7.61
376 38,,Maxi Kleber,"PF,C",LAL,54,17,0.413 (1.1/2.8),0.727 (0.6/0.8),0.5,3.4,2.7,1.3,0.3,0.5,0.6,-7.66
377 39,,Caleb Martin,"SF,PF",DAL,50,16,0.429 (2.0/4.7),0.701 (0.8/1.1),0.6,5.4,2.5,1.3,0.5,0.3,0.7,-7.67
378 22,,Delon Wright,"PG,SG",FA,43,15.8,0.373 (1.4/3.7),0.741 (0.6/0.8),0.5,3.9,1.8,2.3,1,0.3,0.4,-7.71
379 21,,Dominick Barlow,"PF,C",PHI,30,18.7,0.512 (2.4/4.6),0.662 (1.0/1.5),0.2,6,4.1,1.1,0.4,0.6,0.3,-7.71
380 21,,Keon Johnson,"PG,SG",BKN,42,16.8,0.389 (2.7/6.8),0.783 (1.0/1.3),1.1,7.4,2.6,1.5,0.7,0.3,1,-7.72
381 39,,Dalen Terry,"SG,SF",CHI,65,14.2,0.447 (1.6/3.7),0.667 (0.6/1.0),0.5,4.4,2,1.5,0.6,0.3,0.7,-7.75
382 73,133.8,Malik Beasley,"SG,SF",FA,10,22.6,0.436 (3.4/7.9),0.675 (0.5/0.8),2.4,9.8,2.2,1.1,0.6,0.1,0.6,-7.78
383 23,,Grant Williams,"PF,C",CHA,46,16.9,0.454 (2.2/4.8),0.776 (0.9/1.2),1,6.2,2.6,1.4,0.4,0.3,0.9,-7.79
384 41,,Tidjane Salaun,PF,CHA,52,18,0.371 (1.9/5.0),0.730 (1.0/1.4),0.9,5.6,4.1,1.1,0.4,0.2,0.9,-7.87
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
385 41,,Micah Peavy,SG,NO,50,14.4,0.463 (2.0/4.3),0.683 (0.6/0.8),0.5,5,1.7,1.1,0.7,0.2,0.8,-7.91
386 67,,Zavier Simpson,PG,FA,7,23.1,0.315 (2.5/7.8),0.741 (0.4/0.6),0.7,6.1,2.9,3.6,1,0.4,1.5,-7.92
387 40,,Josh Okogie,"SG,SF",HOU,50,10.8,0.431 (1.2/2.9),0.744 (1.0/1.3),0.4,3.9,1.8,0.7,0.7,0.3,0.5,-7.93
388 22,,Jeff Dowtin Jr.,"PG,SG",FA,26,13.5,0.497 (2.4/4.8),0.727 (0.6/0.9),0.7,6,1.4,1.9,0.6,0.2,0.4,-8
389 41,,Rob Dillingham,PG,MIN,60,14.7,0.441 (2.6/5.8),0.537 (0.2/0.4),0.7,6,1.4,2.7,0.5,0,1.5,-8.02
390 67,,Jared Rhoden,"SG,SF",FA,15,15.3,0.490 (2.5/5.0),0.824 (0.9/1.1),0.8,6.6,2.5,1,0.4,0.5,0.5,-8.06
391 42,139.1,Dalton Knecht,"SG,SF",LAL,68,13.2,0.461 (2.3/5.0),0.760 (0.6/0.8),1.1,6.3,1.9,0.6,0.2,0.1,0.3,-8.08
392 43,,Shake Milton,"PG,SG",FA,52,13.4,0.431 (1.9/4.3),0.806 (0.8/1.0),0.5,5.1,1.7,1.6,0.4,0.1,0.7,-8.09
393 43,,Jaden Hardy,"PG,SG",DAL,60,14,0.420 (2.8/6.7),0.736 (0.9/1.2),1.2,7.7,1.6,1.4,0.4,0.1,1.1,-8.1
394 23,,Karlo Matkovic,"PF,C",NO,44,10.8,0.563 (1.8/3.3),0.770 (0.5/0.6),0.3,4.4,2.9,0.6,0.3,0.6,0.6,-8.14
395 23,,Tyrese Martin,"PG,SG,SF",BKN,45,17.4,0.407 (2.5/6.2),0.782 (0.6/0.8),1.3,7,2.9,1.6,0.5,0.1,1,-8.19
396 23,,Bones Hyland,PG,MIN,30,12.3,0.391 (2.3/5.9),0.833 (0.7/0.8),1.2,6.5,1.3,2,0.7,0.1,1.1,-8.21
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
397 23,,Evan Fournier,"SG,SF",FA,32,18.1,0.357 (2.5/7.0),0.798 (0.9/1.1),1,6.9,1.8,1.5,0.9,0.2,0.7,-8.23
398 18,,Trey Jemison,"PF,C",NY,31,16.6,0.552 (2.0/3.6),0.584 (0.6/1.0),0,4.6,4.2,0.8,0.4,0.8,1,-8.34
399 49,,Mason Plumlee,C,CHA,50,9.1,0.599 (1.1/1.8),0.672 (0.8/1.2),0,3,3.5,1,0.2,0.3,0.5,-8.36
400 19,,Markelle Fultz,"PG,SG",FA,32,15,0.463 (2.5/5.4),0.702 (0.3/0.5),0.1,5.5,2.2,2,0.7,0.2,0.9,-8.39
401 18,,Maxime Raynaud,C,SAC,40,14.4,0.464 (2.4/5.2),0.768 (1.1/1.4),0.6,6.5,3.4,0.6,0.3,0.5,0.8,-8.4
402 18,,Bruno Fernando,C,FA,31,11.9,0.573 (2.0/3.4),0.675 (1.0/1.5),0,4.9,3.5,0.9,0.4,0.5,0.8,-8.44
403 52,,Jae'Sean Tate,"SF,PF",HOU,55,12,0.472 (1.3/2.8),0.672 (0.4/0.6),0.3,3.4,2.4,0.8,0.5,0.2,0.4,-8.46
404 19,,Cam Reddish,"SG,SF",FA,40,19.2,0.394 (1.6/4.0),0.707 (0.7/1.0),0.6,4.5,2,0.9,1,0.3,0.5,-8.47
405 51,,Noa Essengue,PF,CHI,68,15.8,0.475 (1.8/3.7),0.711 (1.8/2.5),0.3,5.6,2.6,0.6,0.5,0.3,0.6,-8.47
406 56,,Pat Connaughton,"SG,SF",CHA,58,12.4,0.448 (1.3/2.9),0.755 (0.4/0.5),0.6,3.5,1.9,1.3,0.3,0.2,0.4,-8.51
407 57,,Ricky Council IV,"SG,SF",FA,52,13.1,0.402 (2.0/5.0),0.782 (1.5/1.9),0.6,6.1,2.2,1,0.3,0.1,0.5,-8.53
408 57,,Julian Phillips,"SF,PF",CHI,58,12.4,0.441 (1.4/3.2),0.768 (0.6/0.8),0.5,3.9,1.8,0.5,0.4,0.2,0.3,-8.54
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
409 23,,Marcus Morris Sr.,"PF,C",FA,49,16.7,0.440 (2.4/5.5),0.813 (0.7/0.9),1,6.5,2.8,0.7,0.3,0.3,0.6,-8.54
410 70,,Derrick Rose,PG,FA,24,16.6,0.460 (3.2/6.9),0.894 (1.0/1.1),0.6,8,1.9,3.3,0.3,0.1,1.3,-8.56
411 57,,AJ Johnson,"PG,SG",WAS,50,16,0.386 (2.1/5.4),0.862 (0.8/0.9),0.6,5.6,1.5,1.9,0.3,0.1,0.9,-8.6
412 58,,Blake Wesley,"PG,SG",POR,59,13.1,0.456 (1.6/3.4),0.644 (0.8/1.2),0.3,4.1,1.3,2.4,0.6,0.1,0.9,-8.63
413 22,134.3,Jared Butler,"PG,SG",PHO,40,10.8,0.460 (2.0/4.4),0.837 (0.7/0.9),0.6,5.4,1.1,2.4,0.5,0.1,0.9,-8.63
414 20,,Nikola Topic,PG,OKC,40,15.4,0.460 (2.6/5.7),0.828 (1.3/1.6),0.5,7,1.5,1.8,0.4,0.1,0.7,-8.67
415 57,,Devin Carter,PG,SAC,60,15,0.370 (1.8/4.9),0.589 (1.0/1.7),0.7,5.3,2.9,1.6,0.8,0.2,0.7,-8.68
416 21,,Jaylen Clark,"SG,SF",MIN,40,13.1,0.467 (1.4/3.0),0.787 (0.7/0.9),0.6,4.1,1.3,0.7,0.9,0.1,0.2,-8.74
417 21,,Lamar Stevens,"SF,PF",FA,27,11.9,0.451 (2.3/5.1),0.771 (0.8/1.1),0.4,5.8,2.8,0.6,0.5,0.4,0.6,-8.74
418 21,,Landry Shamet,"SG,SF",NY,40,15.5,0.445 (2.4/5.3),0.791 (0.5/0.7),1.2,6.5,1.3,0.9,0.5,0.1,0.6,-8.75
419 57,,Drake Powell,SG,BKN,52,17.5,0.479 (1.4/2.9),0.597 (0.5/0.8),0.5,3.8,1.7,0.6,0.4,0.4,0.4,-8.76
420 20,,PJ Hall,C,MEM,25,8,0.584 (1.7/2.9),0.755 (0.4/0.5),0.2,4,2.7,0.5,0,0.5,0.2,-8.81
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
421 20,,Eric Gordon,"SG,SF",PHI,30,14.5,0.440 (2.0/4.5),0.774 (0.5/0.6),1.1,5.6,0.9,1.1,0.5,0.2,0.6,-8.83
422 20,,Monte Morris,PG,PHO,40,13.6,0.416 (1.9/4.6),0.800 (0.6/0.8),0.8,5.2,1.6,1.9,0.5,0.2,0.4,-8.86
423 59,,Kris Murray,"SF,PF",POR,65,14.4,0.407 (1.6/3.9),0.551 (0.4/0.7),0.5,4,2.5,0.9,0.5,0.2,0.6,-8.87
424 73,,Oscar Tshiebwe,"PF,C",UTA,11,11.7,0.578 (2.1/3.6),0.742 (1.2/1.6),0,5.3,5.5,0.4,0.6,0.1,0.4,-8.88
425 18,,Micah Potter,"PF,C",FA,27,15.1,0.435 (1.3/3.0),0.813 (0.4/0.5),0.7,3.7,3.5,0.6,0.3,0.3,0.6,-8.99
426 61,,Jase Richardson,SG,ORL,50,11.4,0.463 (1.4/3.1),0.817 (0.9/1.2),0.4,4.2,1.1,0.6,0.3,0.1,0.3,-8.99
427 63,,Malaki Branham,"SG,SF",WAS,50,11,0.438 (2.0/4.5),0.849 (0.5/0.5),0.7,5.1,1.1,1.1,0.2,0.1,0.7,-9.02
428 63,,Nolan Traoré,PG,BKN,62,17.5,0.410 (2.5/6.1),0.706 (1.4/2.0),0.7,7.1,1.1,2.7,0.4,0,1.5,-9.03
429 19,,Jae Crowder,"SF,PF",FA,29,17.3,0.414 (1.7/4.1),0.741 (0.4/0.6),0.9,4.7,2.5,1,0.6,0.1,0.4,-9.09
430 67,,Alijah Martin,SG,TOR,50,11.4,0.448 (1.4/3.2),0.722 (0.7/0.9),0.6,4.1,1.3,0.6,0.4,0.1,0.4,-9.13
431 18,,Ja'Kobe Walter,"PG,SG",TOR,40,14.2,0.405 (2.1/5.1),0.796 (0.9/1.1),0.8,5.8,2.1,1.1,0.6,0.1,0.7,-9.18
432 70,,Jett Howard,SF,ORL,60,13.7,0.371 (2.0/5.3),0.653 (0.3/0.5),1.1,5.3,1.4,0.9,0.3,0.2,0.7,-9.19
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
433 72,,De'Anthony Melton,"PG,SG",GS,22,14.5,0.389 (1.9/4.8),0.810 (0.8/1.0),1,5.5,1.9,1.5,0.8,0.2,0.6,-9.22
434 16,,Branden Carlson,,OKC,32,7.7,0.444 (1.4/3.1),0.772 (0.4/0.6),0.7,3.9,1.7,0.4,0.2,0.7,0.2,-9.26
435 72,,Cody Williams,"SG,SF",UTA,60,19.2,0.323 (1.5/4.7),0.726 (0.5/0.7),0.6,4.2,2.1,1.1,0.4,0.3,0.8,-9.27
436 15,,Dylan Cardwell,,SAC,30,13.7,0.200 (0.5/2.5),0.500 (0.5/1.0),0,1.5,2,0,1,1.5,1,-9.31
437 15,,Baylor Scheierman,SF,BOS,31,14.4,0.355 (1.5/4.2),0.756 (0.3/0.5),1,4.3,2.5,1.3,0.6,0.1,0.5,-9.35
438 77,,Jordan Walsh,"SG,SF",BOS,60,13.5,0.376 (3.0/8.0),0.581 (0.7/1.2),0.8,7.5,2.5,0.7,0.5,0.3,0.6,-9.48
439 11,,Chuma Okeke,PF,FA,28,15.5,0.396 (1.5/3.8),0.600 (0.2/0.3),0.9,4,3.2,0.9,0.4,0.3,0.5,-9.58
440 11,,Malachi Flynn,PG,FA,36,11.8,0.418 (1.8/4.4),0.740 (0.7/1.0),0.7,5.1,1.6,1.8,0.5,0.1,0.9,-9.61
441 10,,Nick Smith Jr.,"PG,SG",LAL,40,14.6,0.421 (2.5/6.0),0.907 (0.4/0.4),1.2,6.7,1.4,1.4,0.2,0.1,0.9,-9.63
442 63,,Justin Edwards,SF,PHI,20,17.6,0.456 (2.4/5.3),0.692 (0.5/0.7),1,6.2,2.1,1,0.6,0.2,0.7,-9.67
443 9,,Duop Reath,C,POR,40,10,0.451 (1.8/4.0),0.768 (0.5/0.7),0.7,4.9,2.1,0.6,0.3,0.3,0.4,-9.7
444 7,,Jabari Walker,"PF,C",PHI,46,12.1,0.478 (1.8/3.7),0.736 (0.9/1.2),0.3,4.7,3.6,0.5,0.4,0.1,0.5,-9.72
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
445 7,,Danny Wolf,PF,BKN,45,15.4,0.477 (1.9/4.0),0.584 (0.8/1.4),0.4,5,3.7,1.4,0.3,0.5,1.2,-9.79
446 85,,Anthony Gill,PF,WAS,50,8.6,0.478 (1.2/2.5),0.721 (0.6/0.9),0.2,3.2,1.6,0.5,0.2,0.1,0.3,-9.81
447 8,,David Roddy,SF,FA,49,15.3,0.415 (2.2/5.2),0.707 (0.7/0.9),0.7,5.6,2.9,1.1,0.4,0.2,0.8,-9.84
