R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
85,94.1,Onyeka Okongwu,"PF,C",ATL,70,26.7,0.582 (4.8/8.2),0.771 (2.0/2.6),0.6,12,8.1,1.9,0.7,1,1.1,1.24
86,137,Nickeil Alexander-Walker,"SG,SF",ATL,78,30.4,0.444 (5.8/13.0),0.814 (1.6/2.0),2.2,15.3,3.5,3.5,1.4,0.6,1.4,1.21
87,83.1,Matas Buzelis,"SF,PF",CHI,78,29.7,0.485 (6.3/13.0),0.836 (2.2/2.6),1.8,16.6,5.2,1.8,0.7,1,2.2,1.15
88,108.2,Toumani Camara,"SF,PF",POR,74,33,0.455 (4.5/9.8),0.738 (1.4/1.9),1.9,12.2,6.4,2.5,1.5,0.7,1.6,1.09
89,74.7,Immanuel Quickley,"PG,SG",TOR,65,30.4,0.433 (5.4/12.5),0.856 (3.3/3.9),2.7,16.8,3.4,5.5,0.8,0.2,1.7,1.06
90,71.3,Jordan Poole,"PG,SG",NO,72,28.9,0.422 (6.2/14.7),0.879 (2.8/3.2),2.7,18,2.7,4.2,1.1,0.3,2.6,1.06
91,76.2,Jalen Green,"PG,SG",PHO,78,32.3,0.423 (7.8/18.5),0.808 (3.7/4.6),2.9,22.2,5.3,3.8,0.9,0.4,2.6,1.04
92,117.8,Zach Edey,C,MEM,56,27.2,0.557 (4.6/8.2),0.711 (1.8/2.5),0.4,11.3,10.2,1.3,0.7,1.4,1.7,0.97
93,119.9,Herbert Jones,"SF,PF",NO,69,31.5,0.453 (3.7/8.1),0.858 (1.8/2.1),1.3,10.5,4,3.2,1.6,0.6,1.4,0.97
94,79.5,Ausar Thompson,"SG,SF,PF",DET,67,30,0.490 (5.9/12.0),0.649 (1.8/2.7),0.5,14,7.1,2.6,1.7,1,1.6,0.94
95,105.2,Draymond Green,"PF,C",GS,66,28.1,0.456 (3.3/7.2),0.702 (1.3/1.8),1.1,8.9,6.6,5.8,1.3,1,2.5,0.94
96,64.6,Julius Randle,"PF,C",MIN,70,33.8,0.477 (6.6/13.8),0.795 (4.1/5.2),1.7,18.9,7.4,4.8,0.6,0.2,2.9,0.92
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
97,83.9,Cam Thomas,"SG,SF",BKN,60,31.3,0.441 (8.1/18.3),0.865 (4.7/5.4),2.4,23.1,3.3,3.2,0.7,0.2,2.1,0.88
98,66.6,Brandon Ingram,"SG,SF,PF",TOR,50,33,0.471 (6.9/14.7),0.810 (3.2/3.9),1.8,18.8,4.6,4.2,0.7,0.6,2.5,0.85
99,103.3,Nicolas Claxton,C,BKN,70,27.3,0.596 (4.7/7.9),0.535 (1.3/2.4),0,10.8,8.4,2.1,0.7,1.7,1.2,0.83
100,135.6,Aaron Nesmith,SF,IND,68,30,0.500 (4.9/9.9),0.829 (1.8/2.1),2.2,13.8,4.4,1.6,1,0.6,1,0.77
101,106.8,Dereck Lively II,C,DAL,65,25.3,0.700 (4.3/6.2),0.635 (1.4/2.2),0,10.1,7.8,1.7,0.7,1.5,1.1,0.71
102,88.1,Christian Braun,"SG,SF",DEN,74,33.9,0.511 (5.7/11.1),0.817 (2.3/2.8),1.1,14.8,4.3,2.5,1.1,0.6,1.1,0.7
103,85.3,Kel'el Ware,"PF,C",MIA,69,27,0.559 (5.0/8.9),0.688 (0.9/1.3),0.7,11.4,8.6,1.1,0.7,1.1,1.1,0.56
104,50.5,Brandon Miller,"SF,PF",CHA,50,32.8,0.428 (6.6/15.4),0.837 (2.1/2.5),2.8,18.1,4.4,2.7,0.9,0.6,2,0.51
105,121.2,Jabari Smith Jr.,"SF,PF,C",HOU,67,31.4,0.441 (5.3/11.9),0.833 (1.9/2.3),2.1,14.5,7.4,1.3,0.8,0.7,1.1,0.33
106,88.6,Norman Powell,"SG,SF",MIA,68,30.3,0.480 (6.5/13.6),0.811 (2.8/3.5),2.8,18.7,3.3,1.7,0.9,0.3,1.4,0.32
107,67,Rudy Gobert,C,MIN,74,30.6,0.664 (4.3/6.5),0.654 (2.5/3.8),0,11.2,9.5,1.3,0.6,1.4,1.2,0.31
108,116.2,Keyonte George,"PG,SG",UTA,70,32.2,0.430 (6.0/13.9),0.829 (3.5/4.2),2.1,17.5,3.8,7.3,0.7,0.1,3.1,0.23
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
109,142.5,Ryan Kalkbrenner,C,CHA,59,28.7,0.642 (4.5/7.0),0.728 (1.1/1.5),0.1,10.2,7.3,0.9,0.3,1.6,0.9,0.22
110,139.6,Neemias Queta,"PF,C",BOS,68,25.2,0.625 (4.0/6.4),0.741 (1.4/1.9),0,9.4,7.6,1.4,0.7,1.3,1.1,0.21
111,113,Tari Eason,"SF,PF",HOU,58,25.4,0.473 (4.7/9.9),0.730 (1.4/1.9),1.1,11.8,7,1.5,1.4,0.9,1.2,0.18
112,108.5,Andrew Wiggins,"SG,SF",MIA,68,30.9,0.456 (6.3/13.7),0.757 (2.9/3.8),2.1,17.5,5.1,2.9,0.9,0.8,1.6,0.18
113,100.6,CJ McCollum,"PG,SG",WAS,60,30.3,0.447 (6.7/14.9),0.767 (1.7/2.3),2.5,17.6,3.6,4.9,0.8,0.5,1.6,0.16
114,116.7,Jaden McDaniels,"SF,PF",MIN,76,31.6,0.482 (5.0/10.3),0.781 (1.1/1.5),1.3,12.4,5.3,1.9,1.2,0.8,1.3,0.14
115,134.3,P.J. Washington,"SF,PF",DAL,65,30.5,0.467 (5.4/11.6),0.703 (1.9/2.7),1.8,14.5,6.7,2.1,1.1,0.9,1.7,0.14
116,97.8,Devin Vassell,"SG,SF",SA,66,31,0.458 (6.2/13.5),0.798 (1.8/2.2),2.3,16.4,3.6,3.2,1.1,0.4,1.4,0.12
117,135.6,Dejounte Murray,"PG,SG",NO,31,28.2,0.435 (6.1/14.1),0.802 (2.2/2.8),1.6,16.1,4.4,5.3,1.3,0.3,2.2,0.08
118,,Josh Minott,"SF,PF",BOS,60,30.4,0.479 (4.5/9.3),0.834 (2.0/2.4),1.3,12.2,5.1,1.9,1.5,0.3,1,0.06
119,92.3,Bennedict Mathurin,"SG,SF",IND,59,32,0.453 (6.2/13.7),0.829 (4.2/5.0),1.9,18.4,5.6,2.3,0.8,0.3,2.1,0.06
120,86.3,Anfernee Simons,"PG,SG",BOS,68,31.1,0.441 (6.1/13.8),0.908 (2.4/2.6),3.2,17.7,2.5,3.9,0.6,0.1,1.9,0.01
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
121 1,103.3,Jalen Suggs,PG,ORL,65,26.8,0.446 (4.6/10.4),0.813 (1.9/2.3),2,13.1,3.2,3.1,1.3,0.7,2,0.01
122 1,137.9,Dylan Harper,"PG,SG",SA,45,27.7,0.469 (5.0/10.7),0.806 (3.0/3.7),1.4,14.4,3.2,4.1,1.2,0.4,1.8,0.01
123,141.2,Tre Jones,"PG,SG",CHI,61,26.2,0.514 (3.9/7.6),0.844 (1.4/1.7),0.9,10.1,3.7,6.6,1,0.2,1.4,0
124,128.9,Malik Monk,SG,SAC,68,28.8,0.442 (5.6/12.7),0.846 (2.3/2.7),2,15.5,3.2,5.1,0.7,0.5,2.2,0
125,115,Keegan Murray,"SF,PF",SAC,59,34,0.449 (5.0/11.2),0.843 (1.0/1.2),2.1,13.2,5.8,1.5,0.9,0.8,0.8,0
